state,vegetable,date,month,season,modal_price,min_price,max_price,msp,price_lag_1m,price_lag_4m,rolling_avg_3m,arrival_qty,temp_max,temp_min,rainfall_mm,humidity,rainfall_deviation,price_direction
Andaman and Nicobar,Onion,2022-01-01,1,Winter,50.0,40.0,64.29,0.0,,,50.0,3.5,28.81,24.04,19.3,89.77,-17.82,STABLE
Andaman and Nicobar,Onion,2022-03-01,3,Summer,50.0,40.0,60.0,0.0,50.0,,50.0,21.0,29.8,24.64,149.5,95.65,102.58,STABLE
Andaman and Nicobar,Onion,2022-04-01,4,Summer,48.69,38.69,58.69,0.0,50.0,,49.56333333333333,30.5,30.8,25.51,84.1,94.83,-9.33,DOWN
Andaman and Nicobar,Onion,2022-05-01,5,Summer,40.0,30.0,50.0,0.0,48.69,,46.23,10.0,29.11,25.42,424.0,93.68,111.2,UP
Andaman and Nicobar,Onion,2023-01-01,1,Winter,60.0,60.0,60.0,0.0,40.0,50.0,49.56333333333333,0.21,28.85,23.96,9.6,86.52,-27.52,STABLE
Andaman and Nicobar,Onion,2023-02-01,2,Winter,60.0,60.0,60.0,0.0,60.0,50.0,53.333333333333336,0.18,29.98,23.68,14.3,91.86,-32.0,STABLE
Andaman and Nicobar,Onion,2023-05-01,5,Summer,60.0,60.0,60.0,0.0,60.0,48.69,60.0,0.33,31.46,26.67,113.3,90.0,-199.5,STABLE
Andaman and Nicobar,Onion,2023-06-01,6,Monsoon,60.0,60.0,60.0,0.0,60.0,40.0,60.0,0.33,29.46,25.63,298.0,91.73,-21.95,STABLE
Andaman and Nicobar,Onion,2023-09-01,9,Monsoon,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.06,28.01,24.68,578.3,93.93,214.85,UP
Andaman and Nicobar,Onion,2023-11-01,11,Post-Monsoon,90.0,85.0,100.0,0.0,60.0,60.0,70.0,0.3,29.29,24.67,242.2,92.17,62.5,STABLE
Andaman and Nicobar,Onion,2023-12-01,12,Winter,90.0,80.0,100.0,0.0,90.0,60.0,80.0,0.2,29.29,25.21,113.8,89.35,-7.63,DOWN
Andaman and Nicobar,Onion,2024-02-01,2,Winter,75.0,70.0,80.0,0.0,90.0,60.0,85.0,0.1,31.12,23.59,3.4,91.28,-42.9,DOWN
